CIS D002,4,00428,64Z,Computers and the Internet in Society,TBA,TBA,Karina G Dundurs (P),ONLINE
CIS D003,4.5,00429,01Y,Business Information Systems,MW,01:30 pm-03:20 pm,Alexander Morgan Jr (P),AT311
CIS D003,4.5,41239,02Y,Business Information Systems,TR,11:30 am-01:20 pm,Speranta Mihaela Georgiou (P),AT311
CIS D003,4.5,44153,03Y,Business Information Systems,MW,11:30 am-01:20 pm,Speranta Mihaela Georgiou (P),AT312
CIS D003,4.5,41271,64Z,Business Information Systems,TBA,TBA,Speranta Mihaela Georgiou (P),ONLINE
CIS D003,4.5,43045,65Z,Business Information Systems,TBA,TBA,Anita Ng Whitehill (P),ONLINE
CIS D004,4.5,43305,01Y,Computer Literacy,TR,03:30 pm-05:20 pm,Mark Sherby (P),AT311
CIS D004,4.5,43279,64Z,Computer Literacy,TBA,TBA,Karina G Dundurs,ONLINE
CIS D004,4.5,43676,65Z,Computer Literacy,TBA,TBA,Mark Sherby,ONLINE
CIS D014A,4.5,42536,64Z,Visual Basic.NET Programming I,TBA,TBA,Arthur J Linn Jr,ONLINE
CIS D018A,4.5,00436,61Y,Introduction to UNIX/LINUX,MW,06:00 pm-07:50 pm,Lalitha Krishnamurthy (P),AT312
CIS D018A,4.5,00435,64Z,Introduction to UNIX/LINUX,TBA,TBA,Mary A May-Pumphrey (P),ONLINE
CIS D018C,4.5,46056,01Y,Shell Programming,MW,11:30 am-01:20 pm,Uyen Clare Nguyen (P),AT204
CIS D022A,4.5,42524,01Y,Beginning Programming Methodologies in C++,TR,01:30 pm-03:20 pm,Yau Yee Lau (P),AT205
CIS D022A,4.5,42525,02Y,Beginning Programming Methodologies in C++,TR,11:30 am-01:20 pm,Delia-Manuela Garbacea (P),AT204
CIS D022A,4.5,42526,03Y,Beginning Programming Methodologies in C++,TR,09:30 am-11:20 am,Abeer Alameer (P),AT205
CIS D022A,4.5,43046,05Y,Beginning Programming Methodologies in C++,MW,09:30 am-11:20 am,Ronney W Bates (P),AT311
CIS D022A,4.5,43277,07Y,Beginning Programming Methodologies in C++,MW,11:30 am-01:20 pm,Kamran Eftekhari (P),AT205
CIS D022A,4.5,44189,09Y,Beginning Programming Methodologies in C++,MW,01:30 pm-03:20 pm,Ira Brown Oldham (P),AT204
CIS D022A,4.5,42528,64Y,Beginning Programming Methodologies in C++,TR,06:00 pm-07:50 pm,Hoang Minh Nguyen (P),AT204
CIS D022A,4.5,43319,64Z,Beginning Programming Methodologies in C++,TBA,TBA,Mary P Pape (P),ONLINE
CIS D022B,4.5,42520,01Y,Intermediate Programming Methodologies in C++,MW,11:30 am-01:20 pm,Delia-Manuela Garbacea (P),AT311
CIS D022B,4.5,42521,02Y,Intermediate Programming Methodologies in C++,TR,11:30 am-01:20 pm,Abeer Alameer (P),AT205
CIS D022B,4.5,42522,03Y,Intermediate Programming Methodologies in C++,MW,03:30 pm-05:20 pm,Manish Goel (P),AT311
CIS D022B,4.5,43042,04Y,Intermediate Programming Methodologies in C++,TR,09:30 am-11:20 am,Hann Roger So (P),AT311
CIS D022B,4.5,42523,61Y,Intermediate Programming Methodologies in C++,MW,08:00 pm-09:50 pm,Shu Huar Yeh (P),AT311
CIS D022B,4.5,43464,64Y,Intermediate Programming Methodologies in C++,MW,06:00 pm-07:50 pm,Ira Brown Oldham (P),AT311
CIS D022B,4.5,43677,64Z,Intermediate Programming Methodologies in C++,TBA,TBA,Hellen Cristiane Dafon Pacheco (P),ONLINE
CIS D022C,4.5,44159,01Y,Data Abstraction and Structures,TR,03:30 pm-05:20 pm,Manish Goel (P),AT312
CIS D022C,4.5,43275,03Y,Data Abstraction and Structures,TR,01:30 pm-03:20 pm,Delia-Manuela Garbacea (P),AT311
CIS D022C,4.5,43675,61Y,Data Abstraction and Structures,TR,06:00 pm-07:50 pm,Manish Goel (P),AT312
CIS D022C,4.5,42519,64Z,Data Abstraction and Structures,TBA,TBA,Jennifer L Parrish,ONLINE
CIS D029,4.5,42094,61Y,Advanced C++ Programming,MW,06:00 pm-07:50 pm,Grant B Larkin (P),AT204
CIS D035A,4.5,44373,01Y,Java Programming,MW,01:30 pm-03:20 pm,Linyun Yu (P),AT205
CIS D035A,4.5,00440,61Y,Java Programming,MW,06:00 pm-07:50 pm,Sukhjit Singh (P),AT205
CIS D035A,4.5,00441,64Z,Java Programming,TBA,TBA,Sukhjit Singh (P),ONLINE
CIS D035B,4.5,00443,63Y,Advanced Java Programming,MW,08:00 pm-09:50 pm,Sukhjit Singh (P),AT205
CIS D036A,4.5,43651,02Y,Introduction to Computer Programming Using Java,TR,09:30 am-11:20 am,Jennifer L Parrish (P),AT312
CIS D036A,4.5,43317,61Y,Introduction to Computer Programming Using Java,MW,06:00 pm-07:50 pm,Ronney W Bates (P),AT203
